hospital_name,last_updated_on,version,location_name,hospital_address,license_number|CA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name,general_contract_provisions,,,,,,,,,,,,,,
Basic metabolic panel,301,RC,80048,CPT,outpatient,,,300,270,Platform Health Insurance,PPO,,150,,,,,,,150,150,fee schedule, This laboratory service paid at 50% of the gross charge.
Basic metabolic panel,301,RC,80048,CPT,outpatient,,,300,270,Region Health Insurance,HMO,,125,,,,,,,125,150,fee schedule,
Cesarean section without sterilization with mcc,786,MS-DRG,,,inpatient,,,,,Platform Health Insurance,PPO,,,,"Allowed amount = $8,000 + MAX (0, ($3,000 x (covered days - 4))",11000,8000,17000,1 through 10,,,case rate,
Cesarean section without sterilization with mcc,786,MS-DRG,,,inpatient,,,,,Region Health Insurance,HMO,,,,"For this specific service, if length of stay is less than 2 days, the admission is paid a one-day case rate of $3,000. If length of stay is 2 days or greater, the admission is paid at $7,500.",7500,3000,7500,14,,,case rate,
Pacemaker,278,RC,C1785,HCPCS,outpatient,,,40000,36000,Platform Health Insurance,PPO,,,,"Allowed amount for service is 110% of the actual cost, based on supplier invoice.",23123.46,16998.38,50000.77,18,,,other, Methodology is explained in algorithm data element.
Pacemaker,278,RC,C1785,HCPCS,outpatient,,,40000,36000,Region Health Insurance,HMO,,,,"Allowed amount for service is 120% of the actual cost, based on supplier invoice.",25086.61,18999.93,60762.44,37,,,other, Methodology is explained in algorithm data element.
Psychoses,885,MS-DRG,,,inpatient,,,,,Platform Health Insurance,PPO,,,,"Allowed amount for service is the lesser of: $24,000 and 80% of total billed charges associated with this specific service.",22157.22,15230.18,24000,1 through 10,,,other, Methodology is explained in algorithm data element.
Psychoses,885,MS-DRG,,,inpatient,,,,,Region Health Insurance,HMO,,,,"Allowed amount is 130% of the Medicare IPF PPS pricer amount; hospital cannot provide a single standard dollar amount due to the following variable factors: patient diagnosis, length of stay.",18230.33,16100.21,20500.9,50,,,other, Methodology is explained in algorithm data element.
Heart transplant or implant of heart assist system with mcc,001,MS-DRG,,,inpatient,,,,,Platform Health Insurance,PPO,,,,"Phase 1 services prior to transplant admission are paid at 40% of charges; Transplant admission is paid at $200,000 case rate; Phase 3 post-transplant services are paid at 30% of charges.",230554.65,210003.62,280159.25,12,,,case rate, Methodology is explained in algorithm data element.
Heart transplant or implant of heart assist system with mcc,001,MS-DRG,,,inpatient,,,,,Region Health Insurance,HMO,,,,"Allowed amount for service is the lesser of: $550,000 and 95% of the total relevant MS-DRG amount for this specific service.",,,,0,,,other, Methodology is explained in algorithm data element.  No services performed during 15-month lookback period.
ER level 3,450,RC,99283,CPT,outpatient,,,4000,3600,Platform Health Insurance,PPO,,,80,,12000.12,5123.74,16784.22,299,,,percent of total billed charges,
ER level 3,450,RC,99283,CPT,outpatient,,,4000,3600,Region Health Insurance,HMO,,,75,,6502.54,4122.7,10001.27,175,,,percent of total billed charges,
"Behavioral health; residential (hospital residential treatment program), without room and board, per diem",H0017,HCPCS,,,inpatient,,,2500,2250,Platform Health Insurance,PPO,,1500,,,,,,,1500,1500,per diem,
"Behavioral health; residential (hospital residential treatment program), without room and board, per diem, days 1-3",H0017,HCPCS,,,inpatient,,,2500,2250,Region Health Insurance,HMO,,2000,,,,,,,2000,2000,per diem,
"Behavioral health; residential (hospital residential treatment program), without room and board, per diem, days 4-5",H0017,HCPCS,,,inpatient,,,2500,2250,Region Health Insurance,HMO,,1800,,,,,,,1800,1800,per diem,
"Behavioral health; residential (hospital residential treatment program), without room and board, per diem, days 6+",H0017,HCPCS,,,inpatient,,,2500,2250,Region Health Insurance,HMO,,1200,,,,,,,1200,1200,per diem,
Treatment or observation room - observation room,762,RC,,,outpatient,,,13000,12000,Platform Health Insurance,PPO,,8000,,,,,,,8000,10000,case rate, Negotiated standard charge without surgery and without rule out myocardial infarction
Treatment or observation room - observation room,762,RC,,,outpatient,,,13000,12000,Region Health Insurance,HMO,,9000,,,,,,,8000,10000,case rate,
Treatment or observation room - observation room,762,RC,,,outpatient,,,13000,12000,Platform Health Insurance,PPO,,10000,,,,,,,8000,10000,case rate, Negotiated standard charge without surgery and with rule out myocardial infarction
Bilateral procedure,,,,,both,,,,,Platform Health Insurance,PPO,50,,150,,,,,,,,, 150% payment adjustment for the item or service to which the modifier is appended
Bilateral procedure,,,,,both,,,,,Region Health Insurance,HMO,50,,145,,,,,,,,, 145% payment adjustment for the item or service to which the modifier is appended
Co-surgeon,,,,,both,,,,,Platform Health Insurance,PPO,62,,62.5,,,,,,,,, 62.5% of the amount for the item or service is appended for each co-surgeon
Co-surgeon,,,,,both,,,,,Region Health Insurance,HMO,62,,60,,,,,,,,, 60% of the amount for the item or service is appended for each co-surgeon
Bilateral procedure with co-surgeon,,,,,both,,,,,Platform Health Insurance,PPO,50|62,,93.75,,,,,,,,, 93.75% of the amount for the item or service is appended for each co-surgeon
Bilateral procedure with co-surgeon,,,,,both,,,,,Region Health Insurance,HMO,50|62,,87,,,,,,,,, 87% of the amount for the item or service is appended for each co-surgeon
Aspirin 81 milligram chewable tablet,10135-0729-62,NDC,,,both,1,UN,2,1.5,Platform Health Insurance,PPO,,0.75,,,,,,,0.75,0.95,fee schedule,
Aspirin 81 milligram chewable tablet,10135-0729-62,NDC,,,both,1,UN,2,1.5,Region Health Insurance,HMO,,0.95,,,,,,,0.75,0.95,fee schedule,
Mexiletine hydrochloride 150 milligram capsule,0093-8739-01,NDC,,,both,1,UN,5,4,Platform Health Insurance,PPO,,3,,,,,,,3,3,fee schedule,
"Mexiletine hydrochloride 150 milligram capsules, 100 capsules per bottle, 1 bottle",0093-8739-01,NDC,,,both,1,EA,500,400,Region Health Insurance,HMO,,350,,,,,,,350,350,fee schedule,
Fluconazole 2 milligrams/milliliter,J1450,HCPCS,25021-0184-82,NDC,both,100,ML,75,45,Platform Health Insurance,PPO,,35,,,,,,,35,37,fee schedule,
Fluconazole 2 milligrams/milliliter,J1450,HCPCS,25021-0184-82,NDC,both,100,ML,75,45,Region Health Insurance,HMO,,37,,,,,,,35,37,fee schedule,
"Kit for preparation of tc-99m tetrosfomin injection, 100 millicurie",17156-0026-30,NDC,,,both,1,EA,515,450,Platform Health Insurance,PPO,,265,,,,,,,265,355,fee schedule,
"Kit for preparation of tc-99m tetrosfomin injection, 100 millicurie",17156-0026-30,NDC,,,both,1,EA,515,450,Region Health Insurance,HMO,,355,,,,,,,265,355,fee schedule,
Permethrin 5% cream,45802-0269-37,NDC,,,both,60,GM,120,75,Platform Health Insurance,PPO,,70,,,,,,,65,70,fee schedule,
Permethrin 5% cream,45802-0269-37,NDC,,,both,60,GM,120,75,Region Health Insurance,HMO,,65,,,,,,,65,70,fee schedule,
Cyanocobalamin 1000 micrograms/milliliter injection solution,J3420,HCPCS,63323-0044-01,NDC,both,1,ML,30,25,Platform Health Insurance,PPO,,8,,,,,,,8,15,fee schedule,
Cyanocobalamin 1000 micrograms/milliliter injection solution,J3420,HCPCS,63323-0044-01,NDC,both,1,ML,30,25,Region Health Insurance,HMO,,15,,,,,,,8,15,fee schedule,
