hospital_name,last_updated_on,version,location_name,hospital_address,license_number|CA,type_2_npi,"To the best of its knowledge and belief, this hospital has included all applicable standard charge information in accordance with the requirements of 45 CFR 180.50, and the information encoded is true, accurate, and complete as of the date in the file. This hospital has included all payer-specific negotiated charges in dollars that can be expressed as a dollar amount. For payer-specific negotiated charges that cannot be expressed as a dollar amount in the machine-readable file or not knowable in advance, the hospital attests that the payer-specific negotiated charge is based on a contractual algorithm, percentage or formula that precludes the provision of a dollar amount and has provided all necessary information available to the hospital for the public to be able to derive the dollar amount, including, but not limited to, the specific fee schedule or components referenced in such percentage, algorithm or formula.",attester_name,general_contract_provisions,,,,,,,,,,,,,,,,,,,,,,
Treatment or observation room - observation room,762,RC,,,,outpatient,,,13000,12000,10000,,,,,,,case rate,Negotiated standard charge without surgery and with rule out myocardial infarction,,,,,,,,,,8000,10000,
Bilateral procedure,,,,,50,both,,,,,,150,,,,,,,150% payment adjustment for the item or service to which the modifier is appended,,145,,,,,,,145% payment adjustment for the item or service to which the modifier is appended,,,
Co-surgeon,,,,,62,both,,,,,,62.5,,,,,,,62.5% of the amount for the item or service to which this modifier is appended for each co-surgeon,,60,,,,,,,60% of the amount for the item or service to which this modifier is appended for each co-surgeon,,,
Bilateral procedure with co-surgeon,,,,,50|62,both,,,,,,93.75,,,,,,,93.75% of the amount for the item or service to which this combination of modifiers is appended for each co-surgeon,,87,,,,,,,87% of the amount for the item or service to which this combination of modifiers is appended for each co-surgeon,,,
Aspirin 81 milligram chewable tablet,10135-0729-62,NDC,,,,both,1,UN,2,1.5,0.75,,,,,,,fee schedule,,0.95,,,,,,,fee schedule,,0.75,0.95,
Mexiletine hydrochloride 150 milligram capsule,0093-8739-01,NDC,,,,both,1,UN,5,4,3,,,,,,,fee schedule,,,,,,,,,,,3,3,
"Mexiletine hydrochloride 150 milligram capsules, 100 capsules per bottle, 1 bottle",0093-8739-01,NDC,,,,both,1,EA,500,400,,,,,,,,,,350,,,,,,,fee schedule,,350,350,
Fluconazole 2 milligrams/milliliter,J1450,HCPCS,25021-0184-82,NDC,,both,100,ML,75,45,35,,,,,,,fee schedule,,37,,,,,,,fee schedule,,35,37,
"Kit for preparation of tc-99m tetrosfomin injection, 100 millicurie",17156-0026-30,NDC,,,,both,1,EA,515,450,265,,,,,,,fee schedule,,355,,,,,,,fee schedule,,265,355,
Permethrin 5% cream,45802-0269-37,NDC,,,,both,60,GM,120,75,70,,,,,,,fee schedule,,65,,,,,,,fee schedule,,65,70,
Cyanocobalamin 1000 micrograms/milliliter injection solution,J3420,HCPCS,63323-0044-01,NDC,,both,1,ML,30,25,8,,,,,,,fee schedule,,15,,,,,,,fee schedule,,8,15,
